Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
8600, Yes, 51-8010, 31.57, 32.19, 42.37, 48.77, 52.21, 65.24, 43.35, 51.99, 66.11, 44.77, 56.45, 43.83, 42.06 
8610, Yes, 51-8021, 28.09, 27.80, 40.16, 49.68, 53.34, 54.58, 41.39, 52.37, 55.59, 41.19, 57.15, 34.83, 40.56 
8620, Yes, 51-8031, 26.90, 26.54, 38.85, 40.82, 47.94, 32.25, 35.08, 47.79, 33.25, 32.86, 56.72, 21.57, 37.19 
8630, Yes, 51-8090, 24.08, 23.25, 42.25, 45.18, 44.89, 46.28, 37.19, 45.02, 47.76, 37.17, 46.12, 29.96, 35.93 
8640, Yes, 51-9010, 20.01, 19.35, 30.60, 40.30, 35.04, 44.92, 33.56, 36.00, 47.22, 34.87, 28.81, 27.35, 29.08 
8650, Yes, 51-9020, 19.02, 17.65, 27.63, 30.68, 21.16, 20.56, 22.66, 21.96, 22.12, 22.35, 19.06, 11.78, 19.58 
8710, Yes, 51-9030, 18.23, 17.29, 32.66, 26.35, 18.26, 14.02, 19.00, 19.31, 16.27, 18.42, 15.25, 7.02, 15.44 
8720, Yes, 51-9041, 23.23, 22.22, 32.50, 33.15, 28.46, 20.99, 25.23, 29.15, 24.42, 24.83, 27.01, 10.27, 22.18 
8730, Yes, 51-9051, 20.27, 19.46, 38.29, 34.70, 24.96, 34.37, 27.86, 25.24, 36.63, 28.90, 22.89, 16.99, 24.11 
8740, Yes, 51-9061, 21.62, 24.81, 36.29, 33.01, 32.99, 23.01, 27.70, 42.58, 33.63, 31.73, 23.12, 9.90, 21.07 
8750, Yes, 51-9071, 28.32, 27.51, 43.07, 39.51, 44.20, 21.74, 31.25, 45.16, 26.97, 29.99, 42.49, 10.67, 28.59 
8760, Yes, 51-9080, 30.91, 33.04, 43.47, 43.25, 53.89, 17.22, 32.60, 58.92, 26.26, 32.60, 51.58, 8.85, 30.68 
8800, Yes, 51-9111, 17.62, 17.16, 25.36, 25.10, 17.83, 11.12, 17.58, 22.71, 16.95, 20.06, 12.97, 6.93, 14.10 
8810, Yes, 51-9120, 20.59, 18.84, 30.86, 30.28, 25.72, 20.59, 24.53, 26.08, 22.76, 23.76, 25.48, 9.63, 21.83 
8830, Yes, 51-9130, 29.74, 31.72, 38.00, 41.06, 51.10, 15.48, 31.29, 55.24, 21.74, 29.91, 46.39, 8.85, 29.03 
8840, Yes, 51-9141, 19.00, 18.86, 29.53, 27.69, 24.71, 14.76, 21.85, 30.15, 20.26, 23.52, 20.82, 7.77, 18.87 
8850, Yes, 51-9191, 18.77, 18.35, 33.80, 25.40, 17.41, 15.03, 19.03, 21.18, 19.70, 20.96, 11.76, 9.31, 14.49 
8860, Yes, 51-9192, 18.92, 17.82, 28.32, 28.44, 20.97, 15.45, 20.88, 22.05, 18.53, 20.51, 17.78, 6.24, 16.10 
8900, Yes, 51-9193, 19.31, 17.73, 27.28, 32.69, 24.60, 16.08, 22.38, 26.24, 19.32, 21.54, 22.01, 7.84, 19.61 
8910, Yes, 51-9194, 23.63, 24.59, 39.15, 35.86, 35.52, 18.44, 27.28, 36.66, 23.19, 26.13, 33.99, 9.54, 25.27 
8920, Yes, 51-9195, 21.47, 20.57, 32.64, 32.55, 34.56, 23.77, 28.75, 33.98, 28.07, 27.94, 36.97, 9.24, 25.96 
8930, Yes, 51-9196, 19.05, 18.62, 30.23, 26.77, 21.02, 18.72, 21.95, 24.39, 25.20, 24.45, 17.50, 8.20, 17.45 
8940, Yes, 51-9197, 18.37, 17.81, 31.55, 27.67, 22.38, 18.55, 22.37, 24.44, 23.44, 23.50, 19.08, 8.56, 18.50 
8950, Yes, 51-9198, 18.90, 16.86, 27.21, 29.49, 22.94, 14.12, 21.30, 23.35, 15.94, 19.61, 20.73, 7.77, 18.97 
8960, Yes, 51-9199, 19.18, 17.62, 28.29, 29.74, 24.19, 17.45, 23.00, 25.47, 20.79, 22.56, 20.68, 8.63, 19.49 
9000, Yes, 53-1000, 43.01, 48.28, 43.68, 52.28, 56.87, 37.23, 39.12, 58.57, 42.56, 38.57, 54.75, 22.30, 36.77 
9030, Yes, 53-2010, 66.61, 66.72, 60.32, 79.02, 87.87, 69.57, 59.03, 87.86, 70.38, 56.47, 82.21, 45.26, 52.55 
9040, Yes, 53-2020, 48.25, 54.02, 55.55, 64.00, 72.85, 53.14, 47.61, 75.41, 61.66, 48.58, 68.30, 31.43, 43.64 
9110, No , 53-3011, 24.35, 24.85, 40.41, 35.16, 40.21, 12.52, 26.74, 47.18, 17.20, 26.05, 37.79, 8.29, 26.10 
9120, Yes, 53-3020, 21.48, 21.14, 32.01, 30.05, 30.50, 19.56, 26.26, 34.37, 26.35, 27.52, 25.72, 12.73, 23.87 
9130, Yes, 53-3030, 22.53, 21.51, 30.53, 33.67, 27.27, 22.80, 25.91, 26.52, 23.74, 24.34, 34.77, 12.97, 27.37 
9140, Yes, 53-3041, 22.53, 20.40, 29.29, 33.09, 37.83, 17.05, 27.79, 38.18, 18.62, 24.73, 36.56, 9.78, 26.41 
9150, Yes, 53-3099, 21.94, 20.34, 26.91, 32.24, 33.97, 21.30, 27.64, 33.97, 22.30, 25.27, 33.54, 16.63, 27.50 
9200, Yes, 53-4010, 31.18, 33.58, 41.31, 49.87, 40.24, 70.99, 41.01, 39.38, 72.25, 44.25, 52.88, 49.56, 42.05 
9230, Yes, 53-4021, 33.83, 36.32, 43.93, 52.55, 49.51, 61.92, 41.93, 50.36, 65.52, 44.23, 55.08, 45.78, 42.12 
9240, Yes, 53-4031, 36.47, 40.18, 42.16, 50.00, 39.17, 69.64, 40.31, 38.23, 72.51, 44.08, 56.95, 29.32, 39.35 
9260, Yes, 53-30XX, 23.34, 22.50, 33.32, 38.56, 30.66, 39.16, 30.12, 31.00, 40.60, 30.67, 31.92, 27.71, 28.67 
9300, No , 53-5011, 22.02, 20.37, 35.41, 37.71, 32.11, 32.23, 30.06, 31.43, 32.24, 28.92, 54.15, 25.34, 37.31 
9310, Yes, 53-5020, 33.13, 34.17, 52.91, 48.51, 46.27, 40.62, 36.52, 45.64, 41.91, 35.51, 57.42, 24.25, 38.09 
9330, Yes, 53-5031, 33.26, 32.79, 48.12, 48.85, 57.59, 46.68, 41.37, 57.59, 46.99, 39.80, 59.88, 41.90, 43.25 
9340, No , 53-6011, 21.14, 25.03, 29.35, 33.17, 33.18, 7.95, 21.74, 41.88, 12.82, 22.05, 30.21, 6.38, 21.96 
9350, No , 53-6021, 22.40, 22.32, 24.64, 34.17, 33.93, 9.22, 22.99, 37.21, 11.32, 20.03, 36.07, 8.77, 25.56 
9360, No , 53-6031, 23.37, 21.37, 24.39, 34.41, 28.19, 12.56, 22.04, 27.86, 13.60, 18.15, 31.63, 8.89, 24.00 
